ID,CDC20,GNG4,CCL20,EGF,GLP1R,ADRA1A,CDK1,E2F8,MTNR1B,MMP1,MMP3,FOXM1,IGF1,MYH7,BUB1B,PLK1,GNAO1,MT2A,MT1E,MT1F,MT1G,MT1X,GLP2R,MYH13,MYH8,MYH4,MYH1,ADRA1D,E2F1,MMP9,GPR50
GSM2049083,5,1,4,0,2,4326,6,0,0,1,0,135,3319,3,8,48,1162,33756,18345,5766,19028,14401,33,0,0,1,0,0,10,9,1
GSM2049084,31,2,26,1,0,4390,48,13,0,2,0,149,1789,3,24,74,806,45041,22291,12182,50503,17640,61,1,0,3,0,1,59,15,0
GSM2049085,10,1,18,0,0,4127,16,4,1,0,0,98,2229,1,15,53,673,26948,14059,4032,14660,9013,45,0,0,2,0,1,12,7,2
GSM2049086,32,18,26,2,0,2405,14,14,5,0,0,148,918,4,20,84,1152,24947,10559,3416,13321,6645,13,1,0,0,0,1,26,6,0
GSM2049087,20,0,22,0,0,2015,18,11,0,2,0,61,622,1,10,44,405,20239,10013,3679,26436,11290,21,3,0,4,2,1,25,22,1
GSM2049088,10,3,113,0,0,5318,47,9,0,4,0,118,4129,2,16,39,853,53121,23249,13656,37604,30356,6,0,0,1,1,0,12,9,1
GSM2049089,1,1,4,0,0,7757,19,8,0,1,0,65,1472,0,9,10,458,7411,3989,1768,6388,4569,93,1,0,1,0,1,0,1,2
GSM2049090,9,3,40,0,0,6244,16,13,0,0,0,59,3846,2,12,25,550,19975,10814,4221,14546,10861,14,1,0,6,1,2,9,0,1
GSM2049091,12,0,20,1,5,1817,7,1,0,0,0,191,336,6,3,76,985,12099,6165,1159,5565,5554,22,0,0,4,0,2,22,11,4
GSM2049092,8,0,8,2,0,2164,13,2,0,3,0,150,1743,1,4,51,819,59642,31148,13167,80098,26569,10,1,0,6,0,0,22,3,1
GSM2049093,21,3,27,0,0,4309,18,2,0,1,0,81,710,2,15,34,435,17669,8941,2756,13954,5823,13,1,0,1,0,0,19,8,0
GSM2049094,10,0,14,2,0,3286,15,29,2,0,0,132,1255,0,17,45,669,21439,11415,2160,19908,9810,22,0,0,1,0,0,179,3,0
GSM2049095,10,0,3,2,0,3364,12,3,0,1,0,70,1353,0,10,36,827,21804,12115,5247,30664,8733,29,0,0,2,0,0,25,3,2
GSM2049096,43,16,19,0,0,1657,38,7,0,0,0,137,399,2,33,74,780,16950,10278,2511,5617,5042,124,0,0,1,0,0,39,71,0
GSM2049097,17,1,5,1,1,3688,15,4,0,3,0,78,1394,2,5,22,811,15509,10422,2749,13127,6968,25,1,0,0,0,0,14,11,1
GSM2049098,9,3,20,1,0,4336,18,4,1,4,0,149,623,2,10,47,1283,37941,21986,3773,15283,14045,54,1,0,8,0,0,19,20,0
GSM2049099,21,2,103,0,1,2998,57,13,0,4,0,136,1286,2,16,42,646,27369,11330,3301,13002,10440,30,1,2,0,0,1,89,59,0
GSM2049100,13,1,4,0,0,4121,24,4,1,1,0,92,825,1,10,52,1074,19698,8102,4153,20139,7432,83,0,0,0,0,0,20,6,0
GSM2049101,10,0,39,0,0,2673,5,1,0,0,0,176,696,2,6,72,753,21168,6932,2801,8768,7381,17,1,0,0,0,0,52,8,1
GSM2049102,8,16,25,0,0,3086,16,13,0,0,0,78,1106,5,12,26,329,12791,7901,2670,9448,5448,15,1,0,5,0,1,21,3,1
GSM2049103,7,0,4,1,0,3185,10,0,0,0,0,106,2612,1,3,35,969,12493,8313,1649,6340,4202,17,1,0,0,0,0,9,11,1
GSM2049104,15,1,30,1,0,3586,19,11,0,3,0,100,2466,3,13,53,1264,13157,7504,1604,5195,5094,14,1,0,0,0,0,37,26,0
GSM2049105,14,2,40,0,9,2122,9,8,0,2,0,117,547,5,4,91,798,20007,6846,1624,7094,5375,5,1,0,2,0,1,24,20,0
GSM2049106,9,4,9,1,2,2386,6,4,0,0,0,91,1073,30,7,42,1716,55123,20183,9820,38669,16673,12,2,1,0,0,0,13,3,0
GSM2049107,94,7,82,1,2,695,105,35,0,0,0,234,689,0,61,51,353,381,61,35,113,220,0,0,0,0,0,0,226,107,0
