ID,GPR50,MYH1,MT2A,E2F8,MYH4,MTNR1B,GLP2R,GNAO1,EGF,BUB1B,MMP3,PLK1,MMP1,MT1E,MT1F,FOXM1,E2F1,MYH7,CCL20,MMP9,CDC20,GLP1R,ADRA1D,MT1G,ADRA1A,IGF1,MT1X,CDK1,MYH8,GNG4,MYH13
GSM4284705,0,0,7145,2,0,1,10,393,0,6,0,14,0,1427,288,47,9,1,10,6,3,0,1,2196,1047,1391,1144,8,0,1,1
GSM4284706,0,0,11827,1,0,1,20,746,1,2,0,31,0,2381,1095,44,12,5,9,3,4,0,3,5658,1593,2726,2220,1,0,2,1
GSM4284707,0,0,64,111,1,1,0,9,0,128,1,292,1,5,1,452,344,0,374,56,270,1,3,0,19,14,1,138,0,5,1
GSM4284708,0,0,7133,1,0,1,1,150,0,3,0,3,0,1454,329,4,3,1,4,7,4,0,0,990,292,709,968,3,1,0,0
GSM4284709,0,1,3328,1,0,0,8,3,1,0,1,7,5,2276,1039,10,6,0,94,83,2,1,24,2377,1,31,1685,6,0,1,1
GSM4284710,0,3,11491,12,188,1,21,306,0,19,1,38,0,3674,704,94,59,1,303,38,31,2,3,2188,803,1005,1444,31,1,3,4
GSM4284711,0,0,32,38,0,0,1,3,0,111,0,89,0,2,4,149,413,0,5,3,41,0,0,9,8,25,3,11,0,0,1
GSM4284712,0,0,3377,0,1,0,6,12,0,0,0,1,4,995,206,2,0,0,0,1,0,0,0,1969,7,57,484,0,0,0,0
GSM4284713,0,0,1163,22,0,1,1,88,1,24,0,53,0,92,5,169,179,0,105,9,48,0,3,11,1020,571,1129,66,0,1,0
GSM4284714,0,2,17069,12,1,1,17,454,2,35,1,56,1,3573,730,104,54,1,283,144,73,3,1,5378,721,533,1844,78,2,8,1
GSM4284715,0,0,8908,25,1,1,1,46,0,27,1,22,45,5200,1353,76,263,0,188,48,52,1,2,10320,1474,682,3807,147,0,2,0
GSM4284716,0,0,8150,3,1,1,19,439,0,6,1,35,0,1845,1013,85,38,3,17,41,7,2,8,4463,1037,283,1955,4,0,2,2
GSM4284717,261,33,2352,128,47,1,0,2,85,527,110,586,562,470,47,931,324,0,26,33710,1334,2,32,60,84,22,150,1570,29,10,142
GSM4284718,0,1,41386,7,83,1,40,682,1,17,3,26,15,10856,3604,83,25,1,387,66,23,2,0,23842,1991,2140,4938,59,0,6,1
GSM4284719,0,2,33205,32,157,1,3,450,1,33,0,30,0,8550,2315,98,80,0,465,65,53,1,0,7409,1574,2259,3390,125,0,2,1
GSM4284720,0,3,19675,9,530,1,59,603,7,6,3,29,0,5952,1136,101,26,1,255,107,29,4,0,6543,1420,1065,2531,52,1,36,1
GSM4284721,0,1,967,72,5,82,18,318,1,79,42,59,208,152,42,120,208,0,905,48,228,1,5,72,56,162,207,431,1,1,0
GSM4284722,0,3,27457,7,813,1,20,425,2,9,1,11,0,9214,1172,57,68,0,295,23,29,1,1,4189,875,2107,2068,23,1,2,2
GSM4284723,1,0,681,14,1,1,3,15,0,16,0,32,7,90,9,66,68,0,69,163,43,1,1,36,117,679,400,60,0,8,0
GSM4284724,0,4,21837,12,625,1,33,1011,1,13,2,25,1,6646,2677,68,96,0,199,73,14,1,1,15452,1244,1731,4741,48,1,3,1
GSM4284725,0,1,1665,104,0,1,2,25,0,475,2,393,268,329,160,562,375,1,2729,1292,992,0,4,852,2,39,314,930,1,3,1
GSM4284726,0,2,28302,2,6,1,27,1155,1,4,2,26,0,7509,4860,53,12,0,342,13,10,1,3,25873,1532,705,4652,7,1,0,1
